ChEMBL_ID,Name,SMILES,pChEMBL_value,activity_type,source
CHEMBL4870398,Unknown,O=C(CSc1c[nH]c2ccccc12)N(Cc1ccccc1)Cc1ccccc1,5.47,IC50,SARS-CoV-2_Mpro
CHEMBL4878063,Unknown,CN(Cc1ccccc1)C(=O)CSc1c[nH]c2ccccc12,5.34,IC50,SARS-CoV-2_Mpro
CHEMBL4845924,Unknown,COc1ccccc1CNC(=O)CSc1c[nH]c2c(-c3ccccc3)cccc12,5.78,IC50,SARS-CoV-2_Mpro
CHEMBL4869436,Unknown,O=C(CSc1c[nH]c2cccc(Br)c12)N(Cc1ccccc1)Cc1ccccc1,5.42,IC50,SARS-CoV-2_Mpro
CHEMBL4857861,Unknown,CCOc1ccccc1CN(OC)C(=O)CSc1c[nH]c2cccc(Br)c12,5.96,IC50,SARS-CoV-2_Mpro
CHEMBL5179067,Unknown,CC(C)(C)OC(=O)Nc1cccn([C@H](CC2CCCCC2)C(=O)N[C@H](C[C@@H]2CCNC2=O)C(=O)C(=O)NC2CC2)c1=O,6.75,IC50,SARS-CoV-2_Mpro
CHEMBL5207860,Unknown,O=C(/C=C/c1ccccc1)N[C@H](CC1CCCCC1)C(=O)N[C@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NCc1ccccc1,6.75,IC50,SARS-CoV-2_Mpro
CHEMBL5208812,Unknown,CC(C)(C)OC(=O)Nc1cccn([C@H](CC2CC2)C(=O)N[C@H](C[C@@H]2CCNC2=O)C(=O)C(=O)NCc2ccccc2)c1=O,6.75,IC50,SARS-CoV-2_Mpro
CHEMBL9470,SHIKONIN,CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,4.8,IC50,SARS-CoV-2_Mpro
CHEMBL485818,BAICALIN,O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,5.19,IC50,SARS-CoV-2_Mpro
CHEMBL218394,BOCEPREVIR,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,5.38,IC50,SARS-CoV-2_Mpro
CHEMBL3427166,Unknown,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-].[Na+],7.52,IC50,SARS-CoV-2_Mpro
CHEMBL5180554,Unknown,CSCC[C@H](C=O)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(C)=O,6.01,IC50,SARS-CoV-2_Mpro
CHEMBL5196922,Unknown,CCC[C@@H](NC(=O)[C@@H](CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCc1ccccn1,6.35,IC50,SARS-CoV-2_Mpro
CHEMBL5184946,Unknown,O=C[C@@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC1CCCCC1)NC(=O)c1cc2ccccc2[nH]1,7.28,IC50,SARS-CoV-2_Mpro
CHEMBL5187773,Unknown,O=C[C@@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](Cc1cccc(F)c1)NC(=O)c1cc2ccccc2[nH]1,7.4,IC50,SARS-CoV-2_Mpro
CHEMBL1255891,NARLAPREVIR,CCCC[C@H](NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)NC1(CS(=O)(=O)C(C)(C)C)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1,5.24,IC50,SARS-CoV-2_Mpro
